User_Questions,Bot_Response
mortage application,"We offer residential mortgages. Call 1-268-481-4200, or ACB Mortgage & Trust on 1-268-481-4300."
i need a morgage,"We offer residential mortgages. Call 1-268-481-4200, or ACB Mortgage & Trust on 1-268-481-4300."
home lone,"We offer residential mortgages. Call 1-268-481-4200, or ACB Mortgage & Trust on 1-268-481-4300."
house mortage,"We offer residential mortgages. Call 1-268-481-4200, or ACB Mortgage & Trust on 1-268-481-4300."
Is mortgage a separate department?,Yes — ACB Mortgage & Trust handles mortgages alongside Fixed Deposits and the Thrift Fund. Reach them on 1-268-481-4300.
Does Mortgage and Trust do more than mortgages?,Yes — ACB Mortgage & Trust handles mortgages alongside Fixed Deposits and the Thrift Fund. Reach them on 1-268-481-4300.
What does ACB Mortgage and Trust handle?,Yes — ACB Mortgage & Trust handles mortgages alongside Fixed Deposits and the Thrift Fund. Reach them on 1-268-481-4300.
Is Mortgage and Trust part of ACB?,Yes — ACB Mortgage & Trust handles mortgages alongside Fixed Deposits and the Thrift Fund. Reach them on 1-268-481-4300.
online banking,"Balances, statements, transfers, wires, EFTs, P2P, bill payments, standing orders and credit card payments — all in the ACB Smart App."
internet banking,"Balances, statements, transfers, wires, EFTs, P2P, bill payments, standing orders and credit card payments — all in the ACB Smart App."
digital banking,"Balances, statements, transfers, wires, EFTs, P2P, bill payments, standing orders and credit card payments — all in the ACB Smart App."
banking online,"Balances, statements, transfers, wires, EFTs, P2P, bill payments, standing orders and credit card payments — all in the ACB Smart App."
web banking,"Balances, statements, transfers, wires, EFTs, P2P, bill payments, standing orders and credit card payments — all in the ACB Smart App."
Why can't I pay my card in online banking?,"Credit card payments go through the ACB Smart App. That's the designated channel, so if you're paying a card balance you'll need the app installed."
Is the app the only way to pay my credit card?,"Credit card payments go through the ACB Smart App. That's the designated channel, so if you're paying a card balance you'll need the app installed."
Can I pay my card without the app?,"Credit card payments go through the ACB Smart App. That's the designated channel, so if you're paying a card balance you'll need the app installed."
Where do card payments happen?,"Credit card payments go through the ACB Smart App. That's the designated channel, so if you're paying a card balance you'll need the app installed."
app,"Download the ACB Smart App free from the App Store or Play Store, then email connect@acbonline.com to get registered."
mobile banking,"Download the ACB Smart App free from the App Store or Play Store, then email connect@acbonline.com to get registered."
get the app,"Download the ACB Smart App free from the App Store or Play Store, then email connect@acbonline.com to get registered."
i want the app,"Download the ACB Smart App free from the App Store or Play Store, then email connect@acbonline.com to get registered."
Why does online banking log me out?,"For your protection, sessions time out after a period of inactivity. Simply sign back in — and it's good practice to log out yourself when you've finished."
My session keeps expiring,"For your protection, sessions time out after a period of inactivity. Simply sign back in — and it's good practice to log out yourself when you've finished."
How long before I'm logged out?,"For your protection, sessions time out after a period of inactivity. Simply sign back in — and it's good practice to log out yourself when you've finished."
Why do I keep getting signed out?,"For your protection, sessions time out after a period of inactivity. Simply sign back in — and it's good practice to log out yourself when you've finished."
Could you explain the app to me?,"Happy to. The ACB Smart App handles transfers, wires, EFTs, P2P payments, bill payments, standing orders, statements and credit card payments. It's free on both app stores."
I'd like to understand mobile banking,"Happy to. The ACB Smart App handles transfers, wires, EFTs, P2P payments, bill payments, standing orders, statements and credit card payments. It's free on both app stores."
Would you tell me what the app does?,"Happy to. The ACB Smart App handles transfers, wires, EFTs, P2P payments, bill payments, standing orders, statements and credit card payments. It's free on both app stores."
May I know more about digital banking?,"Happy to. The ACB Smart App handles transfers, wires, EFTs, P2P payments, bill payments, standing orders, statements and credit card payments. It's free on both app stores."
I was charged twice,"If a payment was taken twice, contact us on 1-268-481-4200 with the date and amount and we'll investigate the duplicate."
There's a duplicate transaction,"If a payment was taken twice, contact us on 1-268-481-4200 with the date and amount and we'll investigate the duplicate."
The same payment came out twice,"If a payment was taken twice, contact us on 1-268-481-4200 with the date and amount and we'll investigate the duplicate."
Double charge on my account,"If a payment was taken twice, contact us on 1-268-481-4200 with the date and amount and we'll investigate the duplicate."
My transfer hasn't arrived,"If a transfer hasn't arrived, check the details you entered first — a wrong account number is the usual cause. If everything looks right, call 1-268-481-4200 with the reference."
The money I sent is missing,"If a transfer hasn't arrived, check the details you entered first — a wrong account number is the usual cause. If everything looks right, call 1-268-481-4200 with the reference."
Where did my payment go?,"If a transfer hasn't arrived, check the details you entered first — a wrong account number is the usual cause. If everything looks right, call 1-268-481-4200 with the reference."
The recipient says they didn't get it,"If a transfer hasn't arrived, check the details you entered first — a wrong account number is the usual cause. If everything looks right, call 1-268-481-4200 with the reference."
"I got a new phone, how do I set up the app?","If you've changed phones, install the ACB Smart App from the App Store or Play Store and sign in with your existing credentials. If you hit a snag, email connect@acbonline.com."
How do I move the app to a new device?,"If you've changed phones, install the ACB Smart App from the App Store or Play Store and sign in with your existing credentials. If you hit a snag, email connect@acbonline.com."
Do I need to re-register on a new phone?,"If you've changed phones, install the ACB Smart App from the App Store or Play Store and sign in with your existing credentials. If you hit a snag, email connect@acbonline.com."
Changed my phone — will the app still work?,"If you've changed phones, install the ACB Smart App from the App Store or Play Store and sign in with your existing credentials. If you hit a snag, email connect@acbonline.com."
How do I add a payee?,"In the ACB Smart App you can add a payee for P2P transfers by entering their Mobile ID, a nickname, their account number and a reference, then confirming."
How do I save someone's details for transfers?,"In the ACB Smart App you can add a payee for P2P transfers by entering their Mobile ID, a nickname, their account number and a reference, then confirming."
Can I add a recipient in the app?,"In the ACB Smart App you can add a payee for P2P transfers by entering their Mobile ID, a nickname, their account number and a reference, then confirming."
How do I set up a new beneficiary?,"In the ACB Smart App you can add a payee for P2P transfers by entering their Mobile ID, a nickname, their account number and a reference, then confirming."
Why does my contact info need to be current?,"Keeping your registered email and phone number current matters, because that's how we reach you about your accounts. Update them at any branch with your identification."
How do I update my email for online banking?,"Keeping your registered email and phone number current matters, because that's how we reach you about your accounts. Update them at any branch with your identification."
My phone number changed — does the bank need to know?,"Keeping your registered email and phone number current matters, because that's how we reach you about your accounts. Update them at any branch with your identification."
Where do I change my registered details?,"Keeping your registered email and phone number current matters, because that's how we reach you about your accounts. Update them at any branch with your identification."
What is a one-time code?,One-time codes add a second layer of protection beyond your password. Never share a verification code with anyone — including someone claiming to be from ACB Caribbean.
Why do I get a verification code?,One-time codes add a second layer of protection beyond your password. Never share a verification code with anyone — including someone claiming to be from ACB Caribbean.
Should I share my OTP?,One-time codes add a second layer of protection beyond your password. Never share a verification code with anyone — including someone claiming to be from ACB Caribbean.
What's two-factor authentication?,One-time codes add a second layer of protection beyond your password. Never share a verification code with anyone — including someone claiming to be from ACB Caribbean.
What can I do online versus in branch?,"Online banking and the app cover most day-to-day needs — balances, statements, transfers, bill payments and card payments. Account opening, cash handling and document requests need a branch."
Do I need to visit for everything?,"Online banking and the app cover most day-to-day needs — balances, statements, transfers, bill payments and card payments. Account opening, cash handling and document requests need a branch."
What still requires a branch visit?,"Online banking and the app cover most day-to-day needs — balances, statements, transfers, bill payments and card payments. Account opening, cash handling and document requests need a branch."
Which things can't be done online?,"Online banking and the app cover most day-to-day needs — balances, statements, transfers, bill payments and card payments. Account opening, cash handling and document requests need a branch."
Is there a manual for online banking?,"The Digital Banking Guide on our website walks through registration and the main features step by step. For anything it doesn't cover, email connect@acbonline.com."
Where can I learn to use the app?,"The Digital Banking Guide on our website walks through registration and the main features step by step. For anything it doesn't cover, email connect@acbonline.com."
Do you have a user guide?,"The Digital Banking Guide on our website walks through registration and the main features step by step. For anything it doesn't cover, email connect@acbonline.com."
How do I learn digital banking?,"The Digital Banking Guide on our website walks through registration and the main features step by step. For anything it doesn't cover, email connect@acbonline.com."
forgot my pasword,"Use the 'Forgot Password' link on the login page, or call 1-268-481-4200 and we'll help you reset it."
cant login,"Use the 'Forgot Password' link on the login page, or call 1-268-481-4200 and we'll help you reset it."
reset pasword,"Use the 'Forgot Password' link on the login page, or call 1-268-481-4200 and we'll help you reset it."
i cant get in to my acount,"Use the 'Forgot Password' link on the login page, or call 1-268-481-4200 and we'll help you reset it."
login problem,"Use the 'Forgot Password' link on the login page, or call 1-268-481-4200 and we'll help you reset it."
Is online banking available all day?,"Yes — online banking and the ACB Smart App are available 24 hours a day, seven days a week."
Can I bank at midnight?,"Yes — online banking and the ACB Smart App are available 24 hours a day, seven days a week."
Is the app always on?,"Yes — online banking and the ACB Smart App are available 24 hours a day, seven days a week."
Do you have 24 hour banking?,"Yes — online banking and the ACB Smart App are available 24 hours a day, seven days a week."
Can I set a standing order in the app?,"Yes — standing orders can be set up through the ACB Smart App, so you don't need to come in for recurring payments."
Do I have to visit a branch for recurring payments?,"Yes — standing orders can be set up through the ACB Smart App, so you don't need to come in for recurring payments."
Is standing order setup available online?,"Yes — standing orders can be set up through the ACB Smart App, so you don't need to come in for recurring payments."
Can I automate payments from my phone?,"Yes — standing orders can be set up through the ACB Smart App, so you don't need to come in for recurring payments."
Which bills can I pay?,"Yes — you can pay your utility bills through online banking, the ACB Smart App, or at any of our ATMs, and the Bill Payment Service is free for account holders."
Can I pay water and electricity?,"Yes — you can pay your utility bills through online banking, the ACB Smart App, or at any of our ATMs, and the Bill Payment Service is free for account holders."
What billers are available?,"Yes — you can pay your utility bills through online banking, the ACB Smart App, or at any of our ATMs, and the Bill Payment Service is free for account holders."
Is bill payment free?,"Yes — you can pay your utility bills through online banking, the ACB Smart App, or at any of our ATMs, and the Bill Payment Service is free for account holders."
Can I move money between my own accounts?,"Yes — you can transfer between your own ACB accounts at no cost, and it's immediate."
Is an internal transfer free?,"Yes — you can transfer between your own ACB accounts at no cost, and it's immediate."
How fast is a transfer between my accounts?,"Yes — you can transfer between your own ACB accounts at no cost, and it's immediate."
Can I shift funds from savings to chequing?,"Yes — you can transfer between your own ACB accounts at no cost, and it's immediate."
Can I bank while I'm abroad?,"You can check balances, move money, pay bills and send transfers from wherever you are — the app works the same overseas as it does at home."
Does online banking work overseas?,"You can check balances, move money, pay bills and send transfers from wherever you are — the app works the same overseas as it does at home."
I'm travelling — can I still access my account?,"You can check balances, move money, pay bills and send transfers from wherever you are — the app works the same overseas as it does at home."
Will the app work in another country?,"You can check balances, move money, pay bills and send transfers from wherever you are — the app works the same overseas as it does at home."
Is downloading my statement free?,You can download statements directly from online banking at no cost. Paper duplicates requested from us are $10 per month of statements.
Do I have to pay for online statements?,You can download statements directly from online banking at no cost. Paper duplicates requested from us are $10 per month of statements.
Difference in cost between paper and digital statements?,You can download statements directly from online banking at no cost. Paper duplicates requested from us are $10 per month of statements.
Can I get statements without a fee?,You can download statements directly from online banking at no cost. Paper duplicates requested from us are $10 per month of statements.
Who supports online banking?,"You can reach the digital banking team on connect@acbonline.com, or call 1-268-481-4200 during banking hours."
Is there a technical helpline?,"You can reach the digital banking team on connect@acbonline.com, or call 1-268-481-4200 during banking hours."
Who do I email about app issues?,"You can reach the digital banking team on connect@acbonline.com, or call 1-268-481-4200 during banking hours."
Digital banking support contact?,"You can reach the digital banking team on connect@acbonline.com, or call 1-268-481-4200 during banking hours."
Can I see my transaction history online?,"You can review your transaction history through online banking or the app, and download statements for your records."
How far back does my history go?,"You can review your transaction history through online banking or the app, and download statements for your records."
Can I export my transactions?,"You can review your transaction history through online banking or the app, and download statements for your records."
Where do I view past transactions?,"You can review your transaction history through online banking or the app, and download statements for your records."
Can I save a transfer for reuse?,You can save transfer details as a template so you don't have to re-enter them each time — useful for payments you make regularly.
How do templates work in the app?,You can save transfer details as a template so you don't have to re-enter them each time — useful for payments you make regularly.
Can I repeat a previous transfer?,You can save transfer details as a template so you don't have to re-enter them each time — useful for payments you make regularly.
Is there a way to avoid retyping transfer details?,You can save transfer details as a template so you don't have to re-enter them each time — useful for payments you make regularly.
Can I see all my accounts in the app?,"You can view all your ACB accounts in one place through online banking or the app, and move money between them free of charge."
Does the app show multiple accounts?,"You can view all your ACB accounts in one place through online banking or the app, and move money between them free of charge."
Can I switch between my accounts?,"You can view all your ACB accounts in one place through online banking or the app, and move money between them free of charge."
How do I view my other accounts?,"You can view all your ACB accounts in one place through online banking or the app, and move money between them free of charge."
How do I change a standing order?,Amending or cancelling an existing standing order costs $25. Come into a branch or call 1-268-481-4200 to make the change.
Can I stop an automatic payment?,Amending or cancelling an existing standing order costs $25. Come into a branch or call 1-268-481-4200 to make the change.
What's the fee to cancel a standing order?,Amending or cancelling an existing standing order costs $25. Come into a branch or call 1-268-481-4200 to make the change.
I need to update my recurring payment,Amending or cancelling an existing standing order costs $25. Come into a branch or call 1-268-481-4200 to make the change.
What are correspondent bank charges?,"Correspondent bank charges are fees applied by the intermediary banks that route your payment. They're separate from our wire fee and vary by corridor, which is why we quote them as an addition."
Why are there extra fees on my wire?,"Correspondent bank charges are fees applied by the intermediary banks that route your payment. They're separate from our wire fee and vary by corridor, which is why we quote them as an addition."
Who charges the intermediary fee?,"Correspondent bank charges are fees applied by the intermediary banks that route your payment. They're separate from our wire fee and vary by corridor, which is why we quote them as an addition."
Why did the recipient get less than I sent?,"Correspondent bank charges are fees applied by the intermediary banks that route your payment. They're separate from our wire fee and vary by corridor, which is why we quote them as an addition."
Is it cheaper to transfer online?,"Doing it online or in the app is cheaper. A wire to the US is $100 in the app versus $120 in branch, and to the Caribbean it's $55 versus $65."
Should I do my wire in branch or the app?,"Doing it online or in the app is cheaper. A wire to the US is $100 in the app versus $120 in branch, and to the Caribbean it's $55 versus $65."
How much do I save using the app?,"Doing it online or in the app is cheaper. A wire to the US is $100 in the app versus $120 in branch, and to the Caribbean it's $55 versus $65."
Why does a branch transfer cost more?,"Doing it online or in the app is cheaper. A wire to the US is $100 in the app versus $120 in branch, and to the Caribbean it's $55 versus $65."
Can I use an EFT to send money overseas?,"EFTs work within the OECS in Eastern Caribbean currency. For payments outside that network, or in another currency, a wire transfer is the right route."
Does EFT work outside the OECS?,"EFTs work within the OECS in Eastern Caribbean currency. For payments outside that network, or in another currency, a wire transfer is the right route."
Can I send USD by EFT?,"EFTs work within the OECS in Eastern Caribbean currency. For payments outside that network, or in another currency, a wire transfer is the right route."
Which countries does EFT cover?,"EFTs work within the OECS in Eastern Caribbean currency. For payments outside that network, or in another currency, a wire transfer is the right route."
What details do I need to send money abroad?,"For an international transfer you'll generally need the recipient's full name and address, their account number or IBAN, and their bank's SWIFT or BIC code. Missing details are the most common cause of delays."
What information for an international transfer?,"For an international transfer you'll generally need the recipient's full name and address, their account number or IBAN, and their bank's SWIFT or BIC code. Missing details are the most common cause of delays."
Do I need a SWIFT code?,"For an international transfer you'll generally need the recipient's full name and address, their account number or IBAN, and their bank's SWIFT or BIC code. Missing details are the most common cause of delays."
What's an IBAN?,"For an international transfer you'll generally need the recipient's full name and address, their account number or IBAN, and their bank's SWIFT or BIC code. Missing details are the most common cause of delays."
I sent money to the wrong account,"If a wire has gone out with incorrect details, contact us immediately on 1-268-481-4200. Recalls depend on the receiving bank and aren't guaranteed, so speed matters."
Can I cancel a wire transfer?,"If a wire has gone out with incorrect details, contact us immediately on 1-268-481-4200. Recalls depend on the receiving bank and aren't guaranteed, so speed matters."
How do I recall a payment?,"If a wire has gone out with incorrect details, contact us immediately on 1-268-481-4200. Recalls depend on the receiving bank and aren't guaranteed, so speed matters."
I made a mistake on my transfer,"If a wire has gone out with incorrect details, contact us immediately on 1-268-481-4200. Recalls depend on the receiving bank and aren't guaranteed, so speed matters."
How does payroll reach my staff?,"Payroll runs through ECACH, our regional clearing network, and can be processed manually or electronically depending on what suits your business."
When do employees get paid?,"Payroll runs through ECACH, our regional clearing network, and can be processed manually or electronically depending on what suits your business."
How does the payroll run work?,"Payroll runs through ECACH, our regional clearing network, and can be processed manually or electronically depending on what suits your business."
What network processes payroll?,"Payroll runs through ECACH, our regional clearing network, and can be processed manually or electronically depending on what suits your business."
How do I send money to family overseas?,"Sending money home to family is straightforward — an EFT for OECS destinations at $1.50, or a wire for anywhere further afield starting at $55 to the Caribbean."
What's the cheapest way to send money abroad?,"Sending money home to family is straightforward — an EFT for OECS destinations at $1.50, or a wire for anywhere further afield starting at $55 to the Caribbean."
Can I make regular payments to relatives?,"Sending money home to family is straightforward — an EFT for OECS destinations at $1.50, or a wire for anywhere further afield starting at $55 to the Caribbean."
Best way to send remittances?,"Sending money home to family is straightforward — an EFT for OECS destinations at $1.50, or a wire for anywhere further afield starting at $55 to the Caribbean."
Is there a cut-off time for transfers?,"Transfers submitted after the daily cut-off are processed the next business day. If timing is critical, call 1-268-481-4200 to confirm the cut-off for your corridor."
What time do transfers stop for the day?,"Transfers submitted after the daily cut-off are processed the next business day. If timing is critical, call 1-268-481-4200 to confirm the cut-off for your corridor."
"If I send money now, when is it processed?","Transfers submitted after the daily cut-off are processed the next business day. If timing is critical, call 1-268-481-4200 to confirm the cut-off for your corridor."
Do weekends affect transfer timing?,"Transfers submitted after the daily cut-off are processed the next business day. If timing is critical, call 1-268-481-4200 to confirm the cut-off for your corridor."
transfer,"Wires for international, EFTs at $1.50 within the OECS, P2P for other ACB customers, and standing orders for anything recurring."
send money,"Wires for international, EFTs at $1.50 within the OECS, P2P for other ACB customers, and standing orders for anything recurring."
how to transfer,"Wires for international, EFTs at $1.50 within the OECS, P2P for other ACB customers, and standing orders for anything recurring."
i want to send money,"Wires for international, EFTs at $1.50 within the OECS, P2P for other ACB customers, and standing orders for anything recurring."
payments,"Wires for international, EFTs at $1.50 within the OECS, P2P for other ACB customers, and standing orders for anything recurring."
how much to transfor money,Wires start at $55 to the Caribbean and $100 to the US when sent online or through the app. EFTs within the OECS are $1.50.
wire transfor fee,Wires start at $55 to the Caribbean and $100 to the US when sent online or through the app. EFTs within the OECS are $1.50.
sending money oversees,Wires start at $55 to the Caribbean and $100 to the US when sent online or through the app. EFTs within the OECS are $1.50.
internatinal transfer,Wires start at $55 to the Caribbean and $100 to the US when sent online or through the app. EFTs within the OECS are $1.50.
transfer chages,Wires start at $55 to the Caribbean and $100 to the US when sent online or through the app. EFTs within the OECS are $1.50.
Can I pay someone at a different bank?,"Yes — you can send money to someone at another bank in the OECS using an EFT, for a flat $1.50 per transaction."
Does the recipient need an ACB account?,"Yes — you can send money to someone at another bank in the OECS using an EFT, for a flat $1.50 per transaction."
Can I transfer to another local bank?,"Yes — you can send money to someone at another bank in the OECS using an EFT, for a flat $1.50 per transaction."
Do both parties need to bank with you?,"Yes — you can send money to someone at another bank in the OECS using an EFT, for a flat $1.50 per transaction."
Can I get proof of a transfer?,"You can obtain confirmation of a completed transfer through online banking or by asking us for a copy. It's worth keeping for your records, particularly on international payments."
How do I get a transfer receipt?,"You can obtain confirmation of a completed transfer through online banking or by asking us for a copy. It's worth keeping for your records, particularly on international payments."
I need confirmation my payment went through,"You can obtain confirmation of a completed transfer through online banking or by asking us for a copy. It's worth keeping for your records, particularly on international payments."
Where's my transfer confirmation?,"You can obtain confirmation of a completed transfer through online banking or by asking us for a copy. It's worth keeping for your records, particularly on international payments."
Can I automate a regular payment?,"You can set up a Standing Order so a fixed amount goes out automatically on a schedule. Setup is $25, and monthly external transfers are $40 plus Stamp Duty."
How do I set up an automatic monthly transfer?,"You can set up a Standing Order so a fixed amount goes out automatically on a schedule. Setup is $25, and monthly external transfers are $40 plus Stamp Duty."
Can you send money on a schedule for me?,"You can set up a Standing Order so a fixed amount goes out automatically on a schedule. Setup is $25, and monthly external transfers are $40 plus Stamp Duty."
Is there a recurring transfer option?,"You can set up a Standing Order so a fixed amount goes out automatically on a schedule. Setup is $25, and monthly external transfers are $40 plus Stamp Duty."
How do forward contracts work?,"A forward exchange contract lets you fix a rate now for a transaction later, which helps if you're exposed to currency movement. It costs $100 per contract plus a 0.5% loading on the rate."
Can I fix a rate for a future payment?,"A forward exchange contract lets you fix a rate now for a transaction later, which helps if you're exposed to currency movement. It costs $100 per contract plus a 0.5% loading on the rate."
Is there protection against rate changes?,"A forward exchange contract lets you fix a rate now for a transaction later, which helps if you're exposed to currency movement. It costs $100 per contract plus a 0.5% loading on the rate."
What does hedging cost?,"A forward exchange contract lets you fix a rate now for a transaction later, which helps if you're exposed to currency movement. It costs $100 per contract plus a 0.5% loading on the rate."
Could you tell me about foreign exchange?,"Certainly. We handle USD, GBP, EUR, CAD and BBD, with buy and sell rates published on our banking page and updated regularly."
I'd like information on currency services,"Certainly. We handle USD, GBP, EUR, CAD and BBD, with buy and sell rates published on our banking page and updated regularly."
Would you explain your FX offering?,"Certainly. We handle USD, GBP, EUR, CAD and BBD, with buy and sell rates published on our banking page and updated regularly."
May I ask about exchanging currency?,"Certainly. We handle USD, GBP, EUR, CAD and BBD, with buy and sell rates published on our banking page and updated regularly."
Can I exchange a large amount?,For a large currency exchange it's worth calling ahead on 1-268-481-4200 so we can make sure the amount is available and discuss the rate with you.
Do I need to order foreign currency in advance?,For a large currency exchange it's worth calling ahead on 1-268-481-4200 so we can make sure the amount is available and discuss the rate with you.
Should I call before exchanging a lot of cash?,For a large currency exchange it's worth calling ahead on 1-268-481-4200 so we can make sure the amount is available and discuss the rate with you.
Is there a limit on currency exchange?,For a large currency exchange it's worth calling ahead on 1-268-481-4200 so we can make sure the amount is available and discuss the rate with you.
Where do I find today's rates?,Our current buy and sell rates are published on the banking page of our website and updated regularly. That's always the most reliable source since rates move.
How often do rates update?,Our current buy and sell rates are published on the banking page of our website and updated regularly. That's always the most reliable source since rates move.
Is your rate table current?,Our current buy and sell rates are published on the banking page of our website and updated regularly. That's always the most reliable source since rates move.
Where are exchange rates published?,Our current buy and sell rates are published on the banking page of our website and updated regularly. That's always the most reliable source since rates move.
usd rate,"Rates change through the day, so our banking page carries the live table. Most recently the US Dollar was buying at 2.67000 and selling at 2.71690."
rates,"Rates change through the day, so our banking page carries the live table. Most recently the US Dollar was buying at 2.67000 and selling at 2.71690."
exchange rate,"Rates change through the day, so our banking page carries the live table. Most recently the US Dollar was buying at 2.67000 and selling at 2.71690."
what's the rate today,"Rates change through the day, so our banking page carries the live table. Most recently the US Dollar was buying at 2.67000 and selling at 2.71690."
Is the rate different for cheques?,Rates for cheques can differ slightly from cash rates — our published table shows the applicable rates for each. Check the banking page for the current figures.
Why is my cheque rate different from cash?,Rates for cheques can differ slightly from cash rates — our published table shows the applicable rates for each. Check the banking page for the current figures.
Do you have separate rates for instruments?,Rates for cheques can differ slightly from cash rates — our published table shows the applicable rates for each. Check the banking page for the current figures.
Which rate applies to a foreign cheque?,Rates for cheques can differ slightly from cash rates — our published table shows the applicable rates for each. Check the banking page for the current figures.
What's the difference between buy and sell rates?,The buy rate is what we pay when you sell us foreign currency; the sell rate is what you pay when you buy it from us. The gap between them is the spread.
Why are there two exchange rates?,The buy rate is what we pay when you sell us foreign currency; the sell rate is what you pay when you buy it from us. The gap between them is the spread.
What does buy rate mean?,The buy rate is what we pay when you sell us foreign currency; the sell rate is what you pay when you buy it from us. The gap between them is the spread.
Explain the spread on exchange rates,The buy rate is what we pay when you sell us foreign currency; the sell rate is what you pay when you buy it from us. The gap between them is the spread.
Do you handle Barbados dollars?,"We buy and sell Barbadian Dollars alongside USD, GBP, EUR and CAD. Current rates are on our banking page."
Can I exchange BBD?,"We buy and sell Barbadian Dollars alongside USD, GBP, EUR and CAD. Current rates are on our banking page."
What's the Barbadian dollar rate?,"We buy and sell Barbadian Dollars alongside USD, GBP, EUR and CAD. Current rates are on our banking page."
Do you take Caribbean currencies?,"We buy and sell Barbadian Dollars alongside USD, GBP, EUR and CAD. Current rates are on our banking page."
investments,"Fixed Deposits, the Thrift Fund and ACB Invest. Call 1-268-481-4300 to talk options with an advisor."
invest,"Fixed Deposits, the Thrift Fund and ACB Invest. Call 1-268-481-4300 to talk options with an advisor."
fixed deposit,"Fixed Deposits, the Thrift Fund and ACB Invest. Call 1-268-481-4300 to talk options with an advisor."
i want to invest,"Fixed Deposits, the Thrift Fund and ACB Invest. Call 1-268-481-4300 to talk options with an advisor."
growing my money,"Fixed Deposits, the Thrift Fund and ACB Invest. Call 1-268-481-4300 to talk options with an advisor."
Where should I invest?,"For a guaranteed return over a set term, a Fixed Deposit. For steady long-term accumulation, the Thrift Fund. For broader options, ACB Invest. An advisor on 1-268-481-4300 can help you decide."
What's the best investment with you?,"For a guaranteed return over a set term, a Fixed Deposit. For steady long-term accumulation, the Thrift Fund. For broader options, ACB Invest. An advisor on 1-268-481-4300 can help you decide."
Help me choose an investment,"For a guaranteed return over a set term, a Fixed Deposit. For steady long-term accumulation, the Thrift Fund. For broader options, ACB Invest. An advisor on 1-268-481-4300 can help you decide."
Which product grows my money best?,"For a guaranteed return over a set term, a Fixed Deposit. For steady long-term accumulation, the Thrift Fund. For broader options, ACB Invest. An advisor on 1-268-481-4300 can help you decide."
Should I pick a longer or shorter term?,"Longer terms generally attract better rates, but they also lock your money up for longer. Our terms run from 18 to 36 months through Mortgage & Trust, with 12 and 24 month options available."
Is it better to lock in for 3 years?,"Longer terms generally attract better rates, but they also lock your money up for longer. Our terms run from 18 to 36 months through Mortgage & Trust, with 12 and 24 month options available."
What terms can I choose from?,"Longer terms generally attract better rates, but they also lock your money up for longer. Our terms run from 18 to 36 months through Mortgage & Trust, with 12 and 24 month options available."
Which fixed deposit term is best?,"Longer terms generally attract better rates, but they also lock your money up for longer. Our terms run from 18 to 36 months through Mortgage & Trust, with 12 and 24 month options available."
What rate will I get on a fixed deposit?,Rates on Fixed Deposits sit within a published range and depend on the amount and the term you choose. Call 1-268-481-4300 for the current rate on the term you have in mind.
Does a longer term pay more?,Rates on Fixed Deposits sit within a published range and depend on the amount and the term you choose. Call 1-268-481-4300 for the current rate on the term you have in mind.
How much interest on a fixed deposit?,Rates on Fixed Deposits sit within a published range and depend on the amount and the term you choose. Call 1-268-481-4300 for the current rate on the term you have in mind.
What's the current fixed deposit rate?,Rates on Fixed Deposits sit within a published range and depend on the amount and the term you choose. Call 1-268-481-4300 for the current rate on the term you have in mind.
Should I save or invest?,That depends on whether you'll need access to the money. A savings account keeps it available at 2%; a fixed deposit locks it away for a guaranteed return over 18 to 36 months.
Is a fixed deposit better than savings?,That depends on whether you'll need access to the money. A savings account keeps it available at 2%; a fixed deposit locks it away for a guaranteed return over 18 to 36 months.
Where should I put my money?,That depends on whether you'll need access to the money. A savings account keeps it available at 2%; a fixed deposit locks it away for a guaranteed return over 18 to 36 months.
What do I do with a lump sum?,That depends on whether you'll need access to the money. A savings account keeps it available at 2%; a fixed deposit locks it away for a guaranteed return over 18 to 36 months.
Thrift fund or fixed deposit — which is better?,"The Thrift Fund is aimed at steady long-term accumulation, while a Fixed Deposit locks a set sum away for a defined term at a guaranteed return. Which fits depends on whether you're saving continuously or investing a lump sum."
What's the difference between thrift fund and fixed deposit?,"The Thrift Fund is aimed at steady long-term accumulation, while a Fixed Deposit locks a set sum away for a defined term at a guaranteed return. Which fits depends on whether you're saving continuously or investing a lump sum."
Should I save monthly or invest a lump sum?,"The Thrift Fund is aimed at steady long-term accumulation, while a Fixed Deposit locks a set sum away for a defined term at a guaranteed return. Which fits depends on whether you're saving continuously or investing a lump sum."
How do I contact the investment team?,"To discuss investment options properly, contact ACB Mortgage & Trust on 1-268-481-4300 or acb_mortgage_and_trust@acbcaribbean.com, or call our main line on 1-268-481-4200."
I want investment advice — who do I call?,"To discuss investment options properly, contact ACB Mortgage & Trust on 1-268-481-4300 or acb_mortgage_and_trust@acbcaribbean.com, or call our main line on 1-268-481-4200."
Where do I go for wealth management?,"To discuss investment options properly, contact ACB Mortgage & Trust on 1-268-481-4300 or acb_mortgage_and_trust@acbcaribbean.com, or call our main line on 1-268-481-4200."
Are there checks on investment accounts?,Yes — Anti-Money Laundering criteria apply to investment products just as they do to accounts. Expect to provide identification and source of funds documentation.
Do AML rules apply to fixed deposits?,Yes — Anti-Money Laundering criteria apply to investment products just as they do to accounts. Expect to provide identification and source of funds documentation.
What documentation for an investment account?,Yes — Anti-Money Laundering criteria apply to investment products just as they do to accounts. Expect to provide identification and source of funds documentation.
